251000
2857,也许,1900
286,聊天,1899
2683,进,1897
273,越,1896
729,作为,1896
5590,薯条,1895
1828,成,1894
2129,来的,1891
947,深刻,1886
1537,骨头,1883
4537,酱汁,1882
4042,整,1881
3940,楼下,1881
1177,否则,1880
2357,回去,1879
1037,进门,1877
1779,自制,1876
405,刚刚,1875
1016,晚,1874
2658,般般,1871
2078,西瓜,1870
1599,经典,1870
3110,种类,1867
749,沙发,1866
1035,受,1864
5398,日本,1861
5933,情侣,1855
461,收,1843
1543,实话,1843
5338,红豆,1840
1824,简直,1834
1517,你们,1824
5504,面条,1822
2373,款,1814
1309,其它,1811
4907,告知,1810
1488,住,1809
1376,热闹,1808
3229,地段,1807
1707,等等,1801
5972,大盘,1795
4508,熟,1791
8551,扇贝,1790
2153,老妈,1790
398,继续,1788
2548,惊喜,1784
1139,八,1784
4790,记,1779
2336,前面,1778
11045,西,1776
1539,低,1772
2183,白,1772
4165,期待,1766
1881,红烧肉,1765
755,家里,1761
11793,路,1754
765,那些,1750
1210,木,1749
1287,百,1747
1911,烤的,1747
355,工作日,1747
1326,办法,1744
5173,楼上,1741
86,写,1740
4211,美,1740
439,不行,1739
1516,远,1731
1262,式,1723
3427,阿,1715
1613,生菜,1715
620,遍,1711
1949,只好,1710
1817,比起,1708
3147,解决,1707
94,店员,1707
3846,拥挤,1705
6421,酱油,1703
489,提醒,1702
2484,蟹粉,1698
13263,笼,1694
1247,唉,1692
553,如此,1687
5507,值,1682
1145,东,1680
811,排骨,1679
684,还没,1679
13701,黄鱼面,1677
1478,灵,1675
225,段,1671
821,而已,1671
3386,端上,1669
3970,每个,1667
6445,小时候,1662
442,中间,1661
4871,对面,1659
2203,鱼片,1657
2640,强烈,1655
26674,披萨,1653
15855,生蚝,1652
1372,类似,1652
1399,说说,1648
10715,下午茶,1647
5389,黄鱼,1646
2316,不怎么,1643
364,动,1639
3095,座,1638
1223,汗,1637
2620,金针菇,1634
2195,马上,1632
4794,夏天,1632
1601,萝卜,1631
11663,日式,1629
1340,午饭,1629
2444,串,1628
178,贴心,1628
810,蒸,1627
1602,逛街,1618
3994,沾,1613
728,话说,1608
1003,广场,1607
1821,哈哈哈,1604
2415,小菜,1604
482,花生,1602
4562,看见,1600
4408,情况,1599
76,难道,1598
530,首先,1596
3664,突然,1596
1923,腥,1594
2310,想想,1593
515,周,1593
258,健康,1590
8420,吃饱,1590
1240,至于,1586
4133,区别,1583
454,事,1582
1316,血,1579
1013,好在,1579
5171,蘑菇,1577
3679,五花肉,1577
3627,并不,1577
3000,酒,1576
1787,特价,1573
1457,缘故,1573
807,辣辣,1570
2894,菌菇,1566
6464,东东,1566
2789,黄,1563
3754,吸引,1555
3140,啥,1554
1208,水平,1553
840,已,1552
2596,吃上,1552
1289,外卖,1552
406,开张,1550
701,挺好,1549
823,撒,1549
3401,放了,1547
2637,水准,1546
724,茶水,1545
3423,品质,1545
13861,冬,1543
4700,象,1542
4892,公园,1539
2438,坑,1538
3160,较,1537
1508,芥末,1535
547,玩,1535
165,办,1531
1276,品尝,1530
6207,拿破仑,1527
1391,等位,1527
1329,某,1526
2860,大堂,1526
9906,餐前,1523
873,光,1522
2575,心,1520
1412,点点,1518
1963,像是,1518
774,开胃,1517
16338,银,1515
2645,晚了,1514
4724,好象,1514
3700,盐,1513
2433,要点,1511
2556,十分,1509
2269,扎,1507
2325,影响,1507
3046,卖相,1505
969,糖,1501
790,满满,1498
4144,面的,1496
1384,虾饺,1494
10244,小食,1494
611,有时候,1493
2791,球,1492
3632,坐下,1492
2092,传统,1491
2315,本身,1489
2205,斤,1488
2265,厕所,1487
33,约,1486
808,弹性,1486
5990,大虾,1485
418,酸梅汤,1484
3159,提供,1482
5397,创意,1482
3931,或,1480
1805,自然,1477
8576,北京,1476
7617,风味,1476
388,餐具,1474
12693,香蕉,1474
1541,带着,1473
3574,涨价,1472
1898,啃,1471
957,十足,1470
2372,忘,1463
1894,即化,1463
6476,新开,1462
10997,鳗鱼,1461
1222,看着,1456
3917,该,1454
855,习惯,1454
932,包厢,1446
3510,嚼劲,1446
1930,鱿鱼,1446
2045,很好,1446
1031,宽敞,1444
4740,闺蜜,1443
1388,小聚,1443
12756,老外,1441
3726,瓶,1439
2278,过瘾,1437
793,辣椒,1432
7312,鸡蛋,1427
1371,懂,1425
931,事先,1425
11092,培根,1424
23,周五,1423
3271,拿到,1422
462,周六,1422
329,怎么样,1419
1023,方面,1416
14682,小锅,1412
1408,厨师,1411
2764,不高,1410
1337,必须,1405
3176,无语,1405
751,特意,1405
167,会员卡,1405
4164,规中矩,1404
8742,日,1401
4035,清楚,1401
7622,氛围,1397
6940,工作,1396
1609,十,1394
1983,弄,1394
5934,小资,1392
2065,女,1389
890,永远,1387
1458,队伍,1387
10389,香港,1384
3568,尤其,1383
2375,牛奶,1380
2338,安排,1379
2881,难得,1375
10030,布置,1373
3628,剩下,1372
1315,毛,1371
2117,酸菜,1371
1406,惯,1370
3183,颜色,1368
1984,遗憾,1367
12432,功夫,1367
14313,自助餐,1365
676,人少,1364
9395,苏,1363
572,一会,1363
1194,酸梅汁,1363
707,哪,1362
3230,子,1360
6178,电影,1356
2594,周围,1355
476,份量,1353
4982,啤酒,1353
1584,再来,1348
7057,看了,1347
3832,星,1346
868,料理,1346
120,订位,1346
3622,面粉,1346
2466,去了,1345
2371,那家,1343
1552,力,1342
2527,装潢,1342
13762,皇,1341
3016,从来,1339
6447,约会,1339
5761,风景,1336
2925,淡淡,1331
654,油麦,1331
3115,说话,1330
9794,丸子,1326
2007,以上,1326
6523,足够,1325
494,厉害,1325
383,卫生,1324
1044,注意,1321
2695,好啊,1321
10708,云吞,1319
1773,六,1317
4884,装,1317
2568,堆,1316
3216,杯子,1316
10805,肠粉,1312
3848,顺便,1312
6394,慕名,1310
1219,蓝莓,1309
669,早点,1306
2542,煎,1304
14925,泡芙,1304
413,必点,1303
508,有名,1303
2147,货,1301
312,出去,1300
1772,外婆,1297
1583,重要,1296
1270,可口,1295
745,素菜,1294
5894,厚实,1293
1906,很香,1291
6075,郁闷,1290
6537,爸爸,1290
1141,交通,1289
1314,改进,1287
4464,香菇,1282
3629,认为,1279
1607,叫号,1279
2439,爹,1278
18318,西餐,1278
1034,简单,1278
317,更加,1277
2472,当天,1274
3102,路上,1273
220,嘻嘻,1270
1557,辣味,1268
14451,炖,1267
757,事情,1267
1757,好评,1267
1764,名气,1264
2151,再去,1263
1008,之一,1262
412,对了,1256
3758,赶,1254
8083,小店,1254
13946,代金券,1253
1200,家人,1253
1966,脆脆,1251
3089,边上,1251
4375,告诉,1251
475,食欲,1251
665,发,1250
6899,偶,1249
2260,电梯,1249
2328,符合,1248
1169,错过,1244
3973,火锅店,1240
3341,椰汁,1235
16,爱吃,1229
2401,冲,1228
8366,拌饭,1228
2016,别家,1228
901,大大,1228
2887,其中,1226
32481,露天,1226
1214,上班,1225
1501,还要,1221
1939,预订,1219
2933,微,1213
1695,素,1213
1887,锅里,1211
2465,不得不,1210
3450,门,1209
13279,台湾,1209
567,鲜嫩,1209
2242,烂,1205
4905,肠,1204
5573,到底,1203
4394,好玩,1203
1760,外,1199
3030,跑,1197
2130,坐满,1196
971,极,1195
14212,榴莲酥,1195
531,特,1193
3658,胃,1192
4948,贝,1192
1409,改良,1191
604,手机,1188
10995,提拉,1187
9468,意大利,1187
13862,阴功,1182
3793,显得,1181
2170,知,1176
1989,表扬,1176
3234,怪味,1176
2186,怪,1175
2680,铁板,1170
2781,奶味,1169
3240,洋葱,1168
6752,酒酿,1166
3330,家庭,1166
277,来到,1165
564,依旧,1165
700,夹,1164
532,麻,1162
1746,噢,1160
4774,优雅,1160
465,火爆,1158
5210,亮点,1156
2765,明明,1155
2396,积分,1155
4004,掉了,1154
2522,此,1154
1986,冬天,1154
1133,同,1153
6071,结帐,1152
1321,爽,1151
7923,汉堡,1151
1064,配料,1148
3867,不得了,1147
3526,不是,1144
20540,服务费,1141
12796,拉面,1140
4224,间,1140
3020,做法,1139
2706,猪手,1139
1908,豆豉,1137
3063,个个,1137
7384,讲,1136
2191,经理,1136
2934,停,1135
598,都会,1133
1183,好了,1133
2571,多的,1128
11017,鲈鱼,1127
6031,现,1124
3343,露,1123
2213,碰到,1122
3223,慢慢,1120
3615,直,1120
776,花生酱,1118
2305,臭豆腐,1115
2549,反而,1115
1705,保持,1114
470,为主,1113
612,有点咸,1112
481,冰沙,1112
2228,芝麻,1110
2930,主菜,1110
316,团购券,1109
1526,味道么,1108
529,等待,1107
7758,果汁,1106
2312,合,1104
3797,大厅,1104
3138,兴趣,1103
4002,汁水,1102
13846,跳舞,1100
15784,粥,1099
3844,空间,1099
394,妈,1098
1402,名,1097
1778,人民,1096
5148,没话,1094
24864,北极,1094
215,宝宝,1094
2108,朋友们,1091
1243,不足,1091
11096,凯撒,1091
7690,怀旧,1090
3407,甜的,1090
3017,堂,1088
3067,拍,1088
5202,天气,1086
5542,上了,1084
679,姑娘,1084
1914,部分,1081
2647,人员,1078
1106,原本,1077
2283,嗲,1076
11954,香肠,1076
2593,做好,1074
2832,玉米,1074
2912,总算,1073
1110,香辣,1073
3112,同样,1072
7528,怀念,1072
1074,诱人,1071
1207,依然,1071
13586,木瓜,1067
6713,噱头,1067
11435,沙律,1064
3988,尝了,1064
27517,松饼,1063
114,很好吃,1062
533,香的,1062
726,盒,1061
1001,龙,1061
502,虾球,1061
4361,最低,1061
2996,差点,1060
3500,绿,1058
3831,颗,1058
3342,西米,1058
2398,发票,1056
8866,粒,1055
11072,门面,1053
732,牌子,1052
2163,早上,1051
11280,法式,1051
4865,辣酱,1051
6243,嘴里,1050
8608,香草,1050
25034,寿司,1047
13662,肉酱,1046
3520,价,1045
327,不管,1044
24845,哈根,1043
1542,孩子,1043
1596,而言,1042
3319,乱,1042
6121,端,1038
1476,菜肴,1037
1579,特色菜,1037
1116,合适,1037
2100,苦,1036
2395,酥,1036
5975,醋,1036
3065,期望,1036
3404,感受,1034
11993,焗,1034
3762,商务,1034
4530,烫,1033
2630,有待,1033
3557,玻璃,1032
1428,后悔,1031
19432,豆沙,1030
2540,单位,1030
6030,龙虾,1030
744,嘴巴,1029
3859,吃得,1028
2222,幸好,1028
677,拿号,1027
10891,牛油,1027
4839,不爽,1026
2160,筷子,1025
1119,调味,1024
2726,外加,1024
3247,结束,1024
6868,拼,1023
5083,锅子,1023
3803,腥味,1023
13978,东南亚,1022
6196,柠檬,1021
2083,图片,1021
1068,细腻,1021
3838,酸辣,1020
1648,老爸,1020
1568,高峰,1016
2815,餐馆,1016
543,好友,1016
607,体验,1015
981,高的,1015
5165,很大,1013
1464,黄瓜,1011
5593,可怜,1008
11044,cheese,1007
4854,纯,1007
3614,千万,1007
1020,心里,1004
3217,换了,1004
1480,令,1003
5260,幸福,1003
363,在一起,1002
8750,原价,1001
5602,不好,1000
1981,挑,999
912,缺点,997
682,咋,996
425,拌面,996
4489,清,995
712,帮忙,995
8879,刷卡,994
3282,厨房,993
692,剩,992
1421,油炸,989
1359,孜然,988
4316,之间,987
5893,徐家汇,987
3329,开了,987
3633,当中,986
2902,涨,984
287,刚好,984
1220,消灭,983
2169,亲切,983
2748,男朋友,982
2058,正常,980
2535,泡饭,980
11135,熔岩,980
2669,好处,980
414,钵钵鸡,979
2525,捞,978
3699,怪怪,977
2988,照片,976
7353,味精,975
3955,看起来,974
2408,面筋,974
2526,诱惑,973
651,半价,973
13550,前菜,973
2388,想去,972
4659,浓浓,971
4773,无法,970
3547,泡菜,970
182,及,969
7175,店堂,969
4031,闹,968
6139,变成,967
4561,所谓,966
10718,酥皮,966
2348,耐心,966
4609,奶香,964
4918,包装,963
1825,食堂,963
7308,供应,961
2702,营业,960
1727,感,959
2962,老婆,958
1614,意外,957
4333,食品,957
4041,七,956
2504,饿了,956
1144,麻烦,956
18136,老字号,956
1319,花菜,955
10961,春卷,955
2782,浓的,955
2600,听到,955
12121,鲜奶,955
2161,夸张,953
22045,金枪鱼,952
24846,达斯,950
1873,进来,949
1839,炒面,949
4850,果,948
2812,冷的,948
2489,加点,948
715,壶,947
2738,任何,947
1486,排到,945
7128,葱,945
9161,韩国,945
902,提高,942
45,钵钵,942
7283,鹅,941
2547,蛮大,940
5311,反应,940
3739,内容,939
2053,伐,938
10986,包饭,937
4397,恭维,935
900,区,935
1577,洗手间,935
1467,回味,934
105,她们,934
32219,西北,933
820,造型,933
7327,KFC,932
7437,系列,932
2335,号码,930
4181,专门,929
11085,音乐,929
4463,失败,926
6897,骨,925
2991,明白,925
1993,且,923
7494,期间,922
2407,谈,921
2510,昏暗,921
8807,蒜,920
4140,不大,920
4285,具体,920
2074,一会儿,919
864,经济,919
2346,许多,918
2829,鲜味,918
4698,留下,917
11013,拼桌,915
664,轮到,914
6436,字号,914
20986,核桃,913
4696,宝,912
672,周日,912
5897,想要,910
2224,运气,910
11429,玫瑰,910
3136,打算,909
3009,抢,908
5384,温馨,908
4819,蜗牛,907
8826,趁热,907
3218,重新,906
10942,茶香,905
5603,之下,905
3802,河,904
5079,师傅,903
3757,一般性,902
3705,难找,900
2245,泰式,897
9665,小姑娘,896
2703,想起,895
5782,跳,895
2031,哇,894
718,按,893
1941,比如,892
698,冰块,892
2926,甜味,892
46598,寿喜,889
3551,记忆,888
2231,组合,888
4264,拔草,887
1193,所,885
3361,程度,884
3184,雪,881
3731,超过,880
4009,客户,879
603,招呼,877
26064,蝎子,876
